ID,Title,Milestone,Phase,Area,Type,Priority,Status,Owner,Estimate,Client Visible,Depends On,Labels,Description,Acceptance Criteria,Testing Notes
LW-001,Створити GitHub repository,M0,phase: 0-setup,devops,devops,critical,Ready,DevOps/Backend,1,yes,,type: devops; area: devops; phase: 0-setup; priority: critical,"Створити repo LimitWear, README, .gitignore, базову структуру, branch protection для main.",Repo створений; main захищений; README є; прямий push у main заблокований.,Перевірити branch protection і створити тестовий PR.
LW-002,Вибрати і створити monorepo structure,M0,phase: 0-setup,architecture,fullstack,critical,Ready,Fullstack,2,yes,LW-001,type: fullstack; area: architecture; phase: 0-setup; priority: critical,"Структура apps/web, apps/api, packages/shared.",Папки створені; package manager працює; можна запускати web/api окремо.,Локальний запуск обох apps.
LW-003,Підняти Next.js frontend,M0,phase: 0-setup,frontend,frontend,critical,Ready,Frontend,2,yes,LW-002,type: frontend; area: frontend; phase: 0-setup; priority: critical,Створити Next.js + TypeScript app з базовим layout і homepage placeholder.,npm run dev працює; homepage відкривається; TypeScript без errors.,Build frontend.
LW-004,Підняти NestJS backend,M0,phase: 0-setup,backend,backend,critical,Ready,Backend,2,yes,LW-002,type: backend; area: backend; phase: 0-setup; priority: critical,"Створити NestJS app, AppModule, ConfigModule, health endpoint.",Backend стартує; GET /health повертає ok.,Build backend + curl /health.
LW-005,Підключити MongoDB dev database,M0,phase: 0-setup,database,backend,critical,Ready,Backend,2,yes,LW-004,type: backend; area: database; phase: 0-setup; priority: critical,"Створити MongoDB dev DB, додати DATABASE_URL, MongooseModule.",Backend підключається до DB; помилка connection логиться.,Health check або test connection.
LW-006,Додати .env.example,M0,phase: 0-setup,devops,devops,high,Ready,Fullstack,1,yes,"LW-003, LW-004",type: devops; area: devops; phase: 0-setup; priority: high,Створити .env.example для web/api з усіма потрібними placeholder secrets.,".env не в git; .env.example містить DATABASE_URL, JWT_SECRET, MONO_TOKEN, NP key, S3 keys.",Перевірити git status і README.
LW-007,Налаштувати ESLint / Prettier,M0,phase: 0-setup,quality,devops,high,Ready,Fullstack,1,no,"LW-003, LW-004",type: devops; area: quality; phase: 0-setup; priority: high,Додати lint/format scripts для frontend і backend.,lint і format працюють; код автоматично форматиться.,npm run lint.
LW-008,Налаштувати GitHub Actions CI,M0,phase: 0-setup,ci-cd,devops,critical,Ready,DevOps,2,yes,LW-007,type: devops; area: ci-cd; phase: 0-setup; priority: critical,"CI: install, lint, typecheck, frontend build, backend build, basic tests.","PR не merge, якщо CI failed.",Створити тестовий PR.
LW-009,Додати shared enums package,M0,phase: 0-setup,shared,fullstack,high,Ready,Fullstack,2,no,LW-002,type: fullstack; area: shared; phase: 0-setup; priority: high,"Створити packages/shared з UserRole, DropStatus, OrderStatus, PaymentStatus, DeliveryStatus, RequestStatus, NotificationCategory.",Frontend/backend можуть імпортувати enums; статуси не дублюються вручну.,Typecheck web/api.
LW-010,Створити User schema,M1,phase: 1-auth,auth,backend,critical,Backlog,Backend,3,yes,"LW-005, LW-009",type: backend; area: auth; phase: 1-auth; priority: critical,"User schema згідно baseline: email, passwordHash, role, permissions, status, контакти, telegram, verification, timestamps.",email unique; passwordHash only; role/status enum; timestamps enabled.,Schema unit/integration test.
LW-011,Створити AuthModule,M1,phase: 1-auth,auth,backend,critical,Backlog,Backend,3,no,LW-010,type: backend; area: auth; phase: 1-auth; priority: critical,AuthModule/controller/service/dto/guards/strategy.,AuthModule із register/login/logout/me endpoint placeholders.,Module compiles.
LW-012,Реалізувати register endpoint,M1,phase: 1-auth,auth,backend,critical,Backlog,Backend,3,yes,LW-011,type: backend; area: auth; phase: 1-auth; priority: critical,POST /auth/register з email/password validation і password hashing.,Створює user; email unique; не повертає passwordHash.,register success + duplicate email test.
LW-013,Реалізувати login endpoint,M1,phase: 1-auth,auth,backend,critical,Backlog,Backend,3,yes,LW-012,type: backend; area: auth; phase: 1-auth; priority: critical,POST /auth/login перевіряє password і ставить HttpOnly cookie.,lastLoginAt оновлюється; wrong password rejected; generic error.,login success/fail tests.
LW-014,Реалізувати logout endpoint,M1,phase: 1-auth,auth,backend,high,Backlog,Backend,2,yes,LW-013,type: backend; area: auth; phase: 1-auth; priority: high,POST /auth/logout очищає cookie/session.,Після logout /auth/me unauthorized.,logout test.
LW-015,Реалізувати GET /auth/me,M1,phase: 1-auth,auth,backend,critical,Backlog,Backend,2,yes,LW-013,type: backend; area: auth; phase: 1-auth; priority: critical,Повертає поточного user без sensitive fields.,id/email/role/status/names; passwordHash відсутній.,/me auth/unauth tests.
LW-016,Налаштувати HttpOnly Secure SameSite cookies,M1,phase: 1-auth,security,backend,critical,Backlog,Backend,3,no,LW-013,type: backend; area: security; phase: 1-auth; priority: critical,"Cookie config для local/dev/prod, CORS credentials.",HttpOnly; Secure у prod; SameSite; CORS правильний.,Manual cookie inspection + auth tests.
